"date","type","Nasdaq100Fut","8:30","sq9:00","zm9:00","16:00","成行","target","基準","基準momemtum","Memo","PER100値"
"2021-04-08","3","0.80","0.8","1.1","0.7","2.5","↗︎0.2↗︎0.2","0.9","中立","-1@","⇨3.2(10:00に3.2%)","225.26"
"2021-04-09","5","-0.5","-0.1","-0.7","-1.0","-2.6","↗︎0.6↗︎1.0","-3.4","高い","1@","⇨-2.6","225.26"
"2021-04-12","1","-0.2","-0.4","-1.2","-0.3","-0.4","↘︎-0.4↗︎0.2","-2.0","中立","-1@323.52","⇨-0.2(9:55に-2.0%)","225.26"
"2021-04-13","2","0.5","1.4","2.0","1.4","6.6","↗︎0.6↗︎0.7","1.4","安め","-2@361.12","⇨5.4(11:00に5.4%)","225.26"
"2021-04-14","4","0.3","0.7","0.5","0.5","-4.0","↘︎-3.2↘︎-1.4","-4.0","高い","1@328.88","⇨-4.0","225.26"
"2021-04-15","3","1.0","1.4","1.7","1.7","1.0","↗︎0.8↗︎0.7","-0.3","中立","-1@332.07","⇨1.0","225.26"
"2021-04-16","1","0.3","0.3","-0.7","-0.7","-0.7","↘︎-1.3↘︎-0.3","-1.6","中立","0@329.75","⇨0.1(9:40に-1.3%)","225.26"
"2021-04-19","3","-0.4","-0.7","-0.9","-0.7","-1.7","↘︎-0.9↘︎-0.6","-2.3","中立","0@324.14","⇨-1.7","225.26"
"2021-04-20","6","-0.3","0.5","0.5","0.1","-0.8","↘︎-2.6↘︎-0.8","-2.3","安め","-1@321.49","⇨-0.7","225.26"
"2021-04-21","1","-0.4","-1.1","-1.5","-1.5","0.3","↗︎2.6↗︎1.3","-2.5","安い","-2@322.45","⇨0.3(9:40に-2.5%)","225.26"
"2021-04-22","6","-0.1","0.0","0.7","0.2","1.7","↗︎0.3↘︎-1.1","0.7","安め","1@328.02","⇨4.7(10:40に4.7%)","225.26"
"2021-04-23","4","0.1","1.2","1.2","0.8","2.6","↗︎3.0↗︎1.1","0.3","中立","2@336.57","⇨2.6","225.26"
"2021-04-26","4","-0.2","-0.4","0.2","-0.3","-0.5","↗︎2.2↗︎0.8","-2.2","高め","3@336.11","⇨-0.3(9:55に-2.2%)","225.26"
"2021-04-27","4","0.2","0.1","0.1","0.0","-0.9","↘︎-1.8↘︎-0.6","-1.4","高め","0@333.19","⇨0.1(10:20に-1.4%)","225.26"
"2021-04-28","1","-0.2","-0.4","-1.1","-0.6","-0.7","↘︎-0.5↘︎-0.3","-2.1","中立","-1@330.95","⇨0.1(9:35に-2.1%)","225.26"
"2021-04-29","4","1.1","0.5","-0.2","0.1","-3.1","↘︎-2.8↘︎-0.6","-3.1","中立","0@320.81","⇨-2.1(11:15に-2.1%)","225.26"
"2021-04-30","2","-0.8","-1.3","-1.1","-0.9","-0.5","↗︎1.5↗︎0.2","-1.1","安い","-1@319.28","⇨1.4(10:30に1.4%)","225.26"
"2021-05-03","1","0.4","0.1","0.1","0.2","-1.8","↘︎-2.5↘︎-0.8","-1.5","安い","-2@313.92","⇨0.1(9:55に-1.5%)","225.26"
"2021-05-04","5","-0.9","-1.2","-1.3","-1.3","-2.9","↘︎-5.3↘︎-1.2","-4.6","安い","-3@304.85","⇨-2.9(11:45に-4.6%)","225.26"
"2021-05-05","4","0.6","0.4","0.5","0.7","-2.4","↗︎0.1↘︎-0.8","-2.8","安い","-4@297.59","⇨-2.4","225.26"
"2021-05-06","1","-0.1","-0.5","-1.3","-0.5","-1.5","↗︎2.0↗︎1.0","-3.7","安い","-5@293.05","⇨-1.2(10:20に-3.7%)","225.26"
"2021-05-07","2","1.3","1.5","1.3","1.3","0.8","↗︎0.1↘︎-0.4","1.3","安い","-6@295.24","⇨3.7(10:20に3.7%)","225.26"
"2021-05-10","5","-0.3","-0.1","-0.6","-0.6","-2.3","↘︎-3.8↘︎-2.2","-0.3","安い","-7@288.49","⇨-2.7(9:55に-2.8%)","225.26"
"2021-05-11","1","-5.3","-2.0","-5.0","-5.0","4.1","↗︎4.9↗︎5.0","-4.4","安い","-8@304.85","⇨4.5(14:30に4.5%)","225.26"
"2021-05-12","4","-1.2","-2.3","-2.8","-2.7","-3.5","↘︎-2.2↘︎-1.3","-4.7","高め","1@289.70","⇨-3.5","225.26"
"2021-05-13","4","0.8","1.1","1.2","1.2","0.2","↘︎-0.6↗︎0.5","-4.4","安め","-1@290.16","⇨-0.1","225.26"
"2021-05-14","1","0.9","1.0","1.2","1.3","6.1","↗︎2.7↗︎1.3","1.2","安め","0@307.89","⇨6.1(10:40に6.1%)","225.26"
"2021-05-17","1","-0.6","-0.6","-0.5","-1.2","0.3","↘︎-1.6↘︎-0.2","-1.4","安い","-1@308.93","⇨0.3(鋸状で機会なし)","225.26"
"2021-05-18","6","0.5","0.8","0.3","0.4","1.3","↘︎-0.2↘︎-0.6","-0.6","安め","1@312.86","⇨4.0(10:40に4.0%)","225.26"
"2021-05-19","1","-1.6","-2.4","-3.6","-3.6","-0.8","↗︎2.5↗︎0.6","-3.5","安め","0@310.46","⇨-0.9(9:30に-3.8%)","225.26"
"2021-05-20","1","0.3","0.3","1.3","1.2","4.6","↗︎4.9↗︎1.8","1.1","安め","0@324.7","⇨4.7(9:30に1.1%)","225.26"
"2021-05-21","4","0.3","0.6","1.1","1.1","-2.6","↘︎-1.4↘︎-0.9","-2.6","高い","1@316.40","⇨-2.6","225.26"
"2021-05-24","1","0.8","1.0","0.9","0.9","1.6","↗︎3.0↗︎1.1","0.9","中立","-1@321.56","⇨2.2(9:55に2.2%)","225.26"
"2021-05-25","6","0.5","0.4","0.5","0.5","-0.1","↘︎-1.8↘︎-0.4","-1.4","高め","1@321.28","⇨1.0(9:55に-1.2)","225.26"
"2021-05-26","3","0.3","0.6","1.0","0.6","1.5","→0.0↘︎-0.1","0.8","高め","0@326.05","⇨2.4(10:00に2.5%)","225.26"
"2021-05-27","6","-0.4","-0.2","-0.6","0.1","0.1","↗︎1.1↗︎0.1","-2.3","高い","1@326.43","⇨1.4(9:50に-2.3%)","225.26"
"2021-05-28","6","0.2","0.4","1.1","0.9","1.6","↗︎0.2↗︎0.2","1.1","高い","2@331.53","⇨2.9(13:10にに2.9%,決算近い)","225.26"
"2021-06-01","4","0.3","0.9","0.5","0.6","-1.2","↘︎-2.3↘︎-0.7","-2.9","高い","3@327.72","⇨-0.5(11:05に-2.9%)","225.26"
"2021-06-02","3","0.1","1.7","-0.1","1.5","-0.2","↗︎0.5↗︎0.1","-1.5","高め","-1@327.11","⇨0.2(11:00に-1.5%)","289.81"
"2021-06-03","5","-0.9","-1.3","-1.2","-1.8","-2.5","↗︎0.4↘︎-0.1","-2.6","高め","0@319.01","⇨-0.6(9:50に-2.6%)","289.81"
"2021-06-04","6","0.5","0.1","0.5","0.3","5.3","↗︎3.4↗︎1.3","0.4","安め","-1@336.00","⇨5.8(9:30に0.8%)","289.81"
"2021-06-07","6","0.0","-0.3","-0.3","-0.5","2.0","↘︎-1.1↗︎0.1","-1.3","高い","1@342.66","⇨2.4(9:40に-1.3%)","289.81"
"2021-06-08","3","0.5","0.4","0.5","0.0","-0.4","↘︎-2.3↘︎-0.4","0.0","高い","2@341.26","⇨1.9(9:50に2.0%)","289.81"
"2021-06-09","1","0.4","0.2","0.7","-0.6","-2.2","↘︎-0.1↘︎-0.4","-3.1","高め","3@333.63","⇨-0.6(13:00に-0.4)","289.81"
"2021-06-10","1","-0.2","0.6","0.4","-0.1","3.9","↗︎2.8↗︎1.1","-0.5","中立","-1@346.5","⇨3.9(9:30に-0.5%)","289.81"
"2021-06-11","1","0.1","0.7","-0.1","0.2","5.7","↗︎0.4→0","0.4","高い","1@366.40","⇨5.7(9:30に0.3%)","289.81"
"2021-06-14","1","0.2","0.3","0.4","-1.0","-0.1","↗︎0.1↗︎0.4","-1.7","高い","2@365.91","⇨0.4(10:40に-1.7%)","289.81"
"2021-06-15","5","0.0","-0.5","-0.4","-0.5","-1.9","↘︎-1.5↘︎-0.6","-2.3","高め","-1@359.00","⇨-0.7(10:30に-2.3%)","289.81"
"2021-06-16","2","0.2","-0.2","-0.5","-0.5","0.8","↗︎0.6↘︎-0.4","-0.2","中立","-2@361.83","⇨2.1(10:10に2.1%)","289.81"
"2021-06-17","1","-0.4","-0.6","-0.7","-0.7","3.1","↗︎6.5↗︎1.9","-0.9","高め","1@372.95","⇨3.4(9:30に-0.9%)","289.81"
"2021-06-18","3","-0.5","-0.7","-0.7","0.0","0.4","↘︎-0.3↗︎0.1","-0.4","高い","2@374.24","⇨1.0(13:15に1.0%)","289.81"
"2021-06-21","1","0.1","-0.3","-0.9","-1.5","-1.3","↗︎1.0↗︎0.5","-2.4","高い","3@369.25","⇨-0.6(9:40に-2.4%)","289.81"
"2021-06-22","2","0.0","-0.2","-1.4","-0.6","1.5","↗︎0.9↗︎0.9","-0.6","高い","4@374.65","⇨1.7(10:40に1.9%)","289.81"
"2021-06-23","2","0.1","0.2","0.6","0.2","0.6","→0.0→0.0","0.2","高い","5@376.92","⇨1.9(10:20に2.0%)","289.81"
"2021-06-24","6","0.6","0.6","1.5","0.4","-0.9","↗︎0.9→0.0","0.4","高い","6@373.40","⇨1.3(12:30に1.3%)","289.81"
"2021-06-25","1","0.1","0.3","-0.4","0.1","-0.3","↘︎-0.5↘︎-0.3","-1.9","高め","-1@372.47","⇨-0.3(10:05に-1.9%)","289.81"
"2021-06-28","6","0.4","0.8","1.1","0.8","4.4","↗︎1.4↗︎0.8","0.8","高め","0@388.86","⇨5.5(12:30に5.5%)","289.81"
"2021-06-29","1","-0.2","0.1","0.2","0.0","1.5","↗︎0.3↗︎0.5","-1.2","高い","1@394.73","⇨1.6(10:15に-1.2%)","289.81"
"2021-06-30","5","0.0","-0.1","-0.4","0.2","-2.0","↗︎0.1→0.0","-2.2","高い","2@387.03","⇨-1.4(12:30に-2.2%)","289.81"
"2021-07-01","3","-0.1","0.0","0.1","-0.2","-0.1","↘︎-0.8→0.0","-1.1","高い","3@386.48","⇨0.1(11:15に-1.1%)","289.81"
"2021-07-02","3","0.6","0.9","0.5","0.8","0.6","↘︎-0.1↗︎0.5","0.1","高い","4@388.89","⇨0.8(14:10に0.1%)","289.81"
"2021-07-06","6","0.2","0.1","-0.1","0.7","3.1","↗︎0.3↗︎0.3","0.7","高い","5@401.12","⇨3.5(11:10に3.5%)","289.81"
"2021-07-07","5","0.5","1.0","1.0","0.7","-1.8","↘︎-1.8↘︎-0.3","-1.5","高い","6@393.91","⇨-0.6(11:35に-1.5%)","289.81"
"2021-07-08","1","-1.3","-2.6","-4.1","-2.8","-2.0","↗︎0.9↗︎0.6","-3.6","高い","7@386.01","⇨-1.5(9:50に-3.6%)","289.81"
"2021-07-09","1","-0.1","0.1","0.8","-1.3","-0.2","↗︎1.1↗︎0.7","-1.7","高め","-1@385.08","⇨0.4(10:30に-1.7%)","289.81"
"2021-07-12","4","0.5","0.5","0.5","-0.9","-1.6","↘︎-0.9↘︎-0.2","-0.9","高め","0@379.12","⇨0.5(9:35に0.5%)","289.81"
"2021-07-13","6","-0.4","-0.4","-1.0","0.0","-0.2","↗︎3.7↗︎0.3","-0.8","中立","-1@378.39","⇨1.2(9:40に-0.8%)","289.81"
"2021-07-14","5","0.7","1.2","0.8","0.3","-4.7","↘︎-0.9↘︎-0.3","-4.7","中立","0@360.61","⇨-4.7(16:00に-4.7%)","289.81"
"2021-07-15","3","0.0","-0.3","0.0","0.4","-1.1","↘︎-1.5↘︎-0.8","-0.3","安い","-1@356.81","⇨1.9(10:15に1.9%)","289.81"
"2021-07-16","6","0.4","0.7","1.8","0.8","1.5","↘︎-2.2↘︎-1.2","-0.7","安い","-2@361.97","⇨2.3(14:25に2.3%)","289.81"
"2021-07-19","1","-0.9","-0.9","-2.3","-2.1","-2.2","↘︎-0.2↘︎-0.4","-4.9","安い","-3@354.20","⇨-2.1(12:55に-4.9%)","289.81"
"2021-07-20","4","0.4","0.7","1.4","1.5","0.5","↗︎1.4↗︎1.1","-1.8","安い","-4@355.81","⇨1.2(10:05に-1.4%)","289.81"
"2021-07-21","1","-0.1","0.4","0.4","0.5","-0.8","↗︎1.3↗︎0.6","-1.8","安め","1@352.97","⇨-0.8(10:40に-1.9%)","289.81"
"2021-07-22","2","0.1","0.6","-0.2","0.7","2.4","↗︎1.4↗︎0.5","0.7","安い","-1@361.39","⇨3.8(10:10に3.8%)","289.81"
"2021-07-23","4","0.3","0.5","0.8","0.6","-0.6","↗︎1.4↗︎0.9","-2.8","中立","1@359.23","⇨0.1(10:50に-2.8%)","289.81"
"2021-07-26","2","-0.2","0.3","0.8","0.9","3.9","↗︎0.6↗︎0.2","0.9","安め","-1@373.14","⇨4.5(9:35に1.3%)","289.81"
"2021-07-27","4","0.1","0.1","-0.5","0.1","-1.5","↘︎-5.7↘︎-1.4","-4.1","高い","1@367.54","⇨-1.4(11:35に-4.1%)","289.81"
"2021-07-28","1","0.4","0.1","0.7","0.2","0.5","↗︎0.1→0.0","-0.6","高め","-1@369.49","⇨1.6(9:40に-0.6%)","289.81"
"2021-07-29","2","-0.2","2.0","-1.6","1.6","4.5","↗︎1.3↗︎0.5","1.6","高め","0@386.02","⇨6.9(10:05に6.9%)","289.81"
"2021-07-30","4","-1.1","-1.2","-2.2","-1.4","-2.1","↗︎1.6↗︎0.5","-1.6","高い","1@378.10","⇨0.8(9:35に0.8%)","289.81"
"2021-08-02","1","0.5","0.6","-2.3","0.4","0.2","↗︎0.5↘︎-0.6","-3.4","高い","2@378.96","⇨1.0(9:40に-3.4%)","289.81"
"2021-08-03","3","0.2","0.1","-0.7","0.3","-1.1","↘︎-0.9↗︎0.4","-0.8","高い","3@374.88","⇨1.4(9:50に1.4%)","289.81"
"2021-08-04","6","-0.1","-0.3","-1.1","0.1","6.9","↗︎0.5↗︎0.3","0.5","高い","4@400.58","⇨7.1(9:00に0.1%)","289.81"
"2021-08-05","1","0.1","-1.2","-0.6","-1.3","-0.5","↗︎1.0↗︎0.3","-1.9","高い","5@398.68","⇨0.6(9:45に-1.9%)","289.81"
"2021-08-06","5","-0.4","-0.3","-0.8","-0.9","-3.8","↘︎-0.2↘︎-0.1","-4.4","高め","-1@383.47","⇨-2.7(11:05に-4.4%)","289.81"
"2021-08-09","4","0.0","-0.4","-0.6","0.4","0.0","↗︎0.1↗︎0.2","-1.3","安め","-2@383.34","⇨0.1(10:00に0.1%)","289.81"
"2021-08-10","3","0.1","0.2","0.3","0.3","-2.8","↘︎-2.3↘︎-0.7","0.3","安め","0@372.55","⇨2.3(9:50に2.3%)","289.81"
"2021-08-11","5","0.4","0.6","1.3","1.0","-3.8","↘︎-2.2↘︎-0.6","-5.1","安い","-1@358.56","⇨-3.4(11:55に-5.1%)","289.81"
"2021-08-12","1","-0.2","-0.1","-0.2","-0.1","1.2","↗︎1.3↗︎0.6","-0.7","安い","-2@362.86","⇨1.4(9:45に-0.7%)","289.81"
"2021-08-13","5","0.0","0.2","0.5","0.2","-2.1","↗︎0.4↗︎0.3","-1.5","安い","-3@355.24","⇨0.1(10:20に0.1%)","289.81"
"2021-08-16","5","-0.3","-0.3","-0.7","-0.1","-1.9","↘︎-1.9↗︎0.2","-3.3","安い","-4@348.41","⇨-1.4(10:20に-3.3%)","289.81"
"2021-08-17","1","2.2","-0.8","-1.7","-1.9","-0.8","↘︎-0.5↘︎-1.5","-1.8","安い","-5@345.54","⇨0.0(9:35に-1.8%)","289.81"
"2021-08-18","4","-0.1","-0.3","0.1","0.0","-1.3","→0.0↘︎-0.7","-1.6","安い","-6@340.93","⇨-0.2(10:05に-1.6%)","289.81"
"2021-08-19","1","-0.6","-0.8","-1.2","-1.7","-2.5","↗︎3.3↗︎1.4","-2.7","安い","-7@332.38","⇨-1.3(11:10に-2.7%)","289.81"
"2021-08-20","2","0.2","0.2","-0.1","0.2","1.4","↗︎2.0↗︎0.9","0.5","安い","-8@336.86","⇨3.5(10:50に3.5%)","289.81"
"2021-08-23","6","0.2","0.3","1.4","0.5","1.3","↗︎3.1↗︎1.4","0.2","安い","-9@341.3","⇨1.6(13:05に1.6%)","289.81"
"2021-08-24","4","0.1","0.7","0.2","07","-0.3","↗︎0.3↗︎0.2","-0.9","安め","1@340.25","⇨-0.4(14:00に-0.9%)","289.81"
"2021-08-25","4","0.1","0.1","-0.3","0.1","-0.7","↘︎-0.2→0.0","-0.9","安い","-1@337.74","⇨-0.2(12:15に-0.9%)","289.81"
"2021-08-26","3","-0.2","3.6","-0.5","3.3","0.9","↘︎-0.2↘︎-0.2","3.3","安い","-2@340.63","⇨5.4(9:40に4.9%)","289.81"
"2021-08-27","4","0.3","1.3","0.3","1.4","0.1","↗︎0.8↗︎0.8","-0.8","安い","-3@340.81","⇨0.1(13:00に-0.8%)","289.81"
"2021-08-30","6","0.1","0.3","1.0","0.7","2.0","↗︎2.5↗︎1.1","0.0","安い","-4@347.5","⇨1.9(9:50に0.0%)","289.81"
"2021-08-31","5","-0.1","-13.8","0.3","-14.5","-16.7","↘︎-0.1↗︎0.1","-16.7","安め","1@289.5","⇨-15.0(10:35に-15.0%)","331.00"
"2021-09-01","2","0.4","0.9","0.6","1.1","0.5","↗︎1.0→0.0","1.0","安い","-1@290.86","⇨3.1(10:15に3.1%)","331.00"
"2021-09-02","6","0.3","0.9","1.0","1.1","1.5","↘︎-0.2↘︎-0.4","-0.1","安め","1@295.09","⇨1.8(13:45に1.8%)","331.00"
"2021-09-03","6","0.1","0.3","0.4","0.1","1.1","↗︎0.8↗︎0.3","-0.5","中立","2@298.29","⇨2.2(12:30に2.2%)","331.00"
